Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
CPV,2007,EJ Events,0.9749361541268231,0.0024772914946324933,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2012,EJ Events,0.9669563925336727,0.0032672923183871467,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2017,EJ Events,0.9665422213827085,0.0033083124826243666,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CPV,2022,EJ Events,0.9683414373418212,0.00313012747696574,%,Estimated,Africa,Western Africa,Republic of Cabo Verde
CRI,2007,EJ Events,0.9499341688986925,0.004954582989265,%,EJ Atlas,America,Central America,Republic of Costa Rica
CRI,2012,EJ Events,0.9578356691039384,0.0041710114702815,%,EJ Atlas,America,Central America,Republic of Costa Rica
CRI,2017,EJ Events,0.9494343415643598,0.0050041701417848,%,EJ Atlas,America,Central America,Republic of Costa Rica
CRI,2022,EJ Events,0.9540763888692142,0.0045437334343051,%,EJ Atlas,America,Central America,Republic of Costa Rica
CUB,2007,EJ Events,0.9749361541268231,0.0024772914946325,%,EJ Atlas,America,Caribbean,Republic of Cuba
CUB,2012,EJ Events,0.9841678021339545,0.0015641293013555,%,EJ Atlas,America,Caribbean,Republic of Cuba
CUB,2017,EJ Events,0.9831167196374934,0.0016680567139282,%,EJ Atlas,America,Caribbean,Republic of Cuba
CUB,2022,EJ Events,0.9846689855374344,0.001514577811435,%,EJ Atlas,America,Caribbean,Republic of Cuba
CUW,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,America,Caribbean,Country of Curaçao
CUW,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,America,Caribbean,Country of Curaçao
CUW,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,America,Caribbean,Country of Curaçao
CUW,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,America,Caribbean,Country of Curaçao
CYM,2007,EJ Events,0.9895491934683919,0.001032204789430175,%,Estimated,America,Caribbean,Cayman Islands
CYM,2012,EJ Events,0.9920808080350397,0.000782064650677725,%,Estimated,America,Caribbean,Cayman Islands
CYM,2017,EJ Events,0.9894446527152727,0.0010425354462051124,%,Estimated,America,Caribbean,Cayman Islands
CYM,2022,EJ Events,0.9899364050987274,0.0009939416887541999,%,Estimated,America,Caribbean,Cayman Islands
CYP,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Asia,Western Asia,Republic of Cyprus
CYP,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Asia,Western Asia,Republic of Cyprus
CYP,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Asia,Western Asia,Republic of Cyprus
CYP,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Asia,Western Asia,Republic of Cyprus
CZE,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Europe,Eastern Europe,Czech Republic
CZE,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Europe,Eastern Europe,Czech Republic
CZE,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Europe,Eastern Europe,Czech Republic
CZE,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Europe,Eastern Europe,Czech Republic
DEU,2007,EJ Events,0.9001145641912771,0.0099091659785301,%,EJ Atlas,Europe,Western Europe,Federal Republic of Germany
DEU,2012,EJ Events,0.9315718071721057,0.0067778936392075,%,EJ Atlas,Europe,Western Europe,Federal Republic of Germany
DEU,2017,EJ Events,0.9410312171732428,0.0058381984987489,%,EJ Atlas,Europe,Western Europe,Federal Republic of Germany
DEU,2022,EJ Events,0.942627942513047,0.0056796667928814,%,EJ Atlas,Europe,Western Europe,Federal Republic of Germany
DJI,2007,EJ Events,0.9710856760801055,0.002858413263037492,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2012,EJ Events,0.9626918369211028,0.003689740916018238,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2017,EJ Events,0.9669092894216198,0.0032719574003977157,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DJI,2022,EJ Events,0.9681845693560778,0.0031456616083650767,%,Estimated,Africa,Eastern Africa,Republic of Djibouti
DMA,2007,EJ Events,0.9895491934683919,0.001032204789430175,%,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2012,EJ Events,0.9920808080350397,0.000782064650677725,%,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2017,EJ Events,0.9894446527152727,0.0010425354462051124,%,Estimated,America,Caribbean,Commonwealth of Dominica
DMA,2022,EJ Events,0.9899364050987274,0.0009939416887541999,%,Estimated,America,Caribbean,Commonwealth of Dominica
DNK,2007,EJ Events,1.0,0.0,%,EJ Atlas,Europe,Northern Europe,Kingdom of Denmark
DNK,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Europe,Northern Europe,Kingdom of Denmark
DNK,2017,EJ Events,0.9831167196374934,0.0016680567139282,%,EJ Atlas,Europe,Northern Europe,Kingdom of Denmark
DNK,2022,EJ Events,0.9846689855374344,0.001514577811435,%,EJ Atlas,Europe,Northern Europe,Kingdom of Denmark
DOM,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,America,Caribbean,Dominican Republic
DOM,2012,EJ Events,0.9841678021339545,0.0015641293013555,%,EJ Atlas,America,Caribbean,Dominican Republic
DOM,2017,EJ Events,0.9789002925744945,0.0020850708924103,%,EJ Atlas,America,Caribbean,Dominican Republic
DOM,2022,EJ Events,0.9808398545628649,0.0018932222642938,%,EJ Atlas,America,Caribbean,Dominican Republic
DZA,2007,EJ Events,0.9832838809054443,0.0016515276630883,%,EJ Atlas,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2012,EJ Events,0.973626733677478,0.0026068821689259,%,EJ Atlas,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2017,EJ Events,0.9746856197978216,0.0025020850708924,%,EJ Atlas,Africa,Northern Africa,People's Democratic Republic of Algeria
DZA,2022,EJ Events,0.977012170454372,0.0022718667171525,%,EJ Atlas,Africa,Northern Africa,People's Democratic Republic of Algeria
ECU,2007,EJ Events,0.7276505012058169,0.0272502064409578,%,EJ Atlas,America,South America,Republic of Ecuador
ECU,2012,EJ Events,0.7702383472287031,0.0229405630865484,%,EJ Atlas,America,South America,Republic of Ecuador
ECU,2017,EJ Events,0.8158137282024893,0.018348623853211,%,EJ Atlas,America,South America,Republic of Ecuador
ECU,2022,EJ Events,0.8326216151279114,0.0166603559257856,%,EJ Atlas,America,South America,Republic of Ecuador
EGY,2007,EJ Events,0.9499341688986925,0.004954582989265,%,EJ Atlas,Africa,Northern Africa,Arab Republic of Egypt
EGY,2012,EJ Events,0.9368191348587748,0.0062565172054223,%,EJ Atlas,Africa,Northern Africa,Arab Republic of Egypt
EGY,2017,EJ Events,0.9410312171732428,0.0058381984987489,%,EJ Atlas,Africa,Northern Africa,Arab Republic of Egypt
EGY,2022,EJ Events,0.942627942513047,0.0056796667928814,%,EJ Atlas,Africa,Northern Africa,Arab Republic of Egypt
ERI,2007,EJ Events,0.9710856760801055,0.002858413263037492,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2012,EJ Events,0.9626918369211028,0.003689740916018238,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2017,EJ Events,0.9669092894216198,0.0032719574003977157,%,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2022,EJ Events,0.9681845693560778,0.0031456616083650767,%,Estimated,Africa,Eastern Africa,State of Eritrea
ESP,2007,EJ Events,0.6789095930298702,0.0322047894302229,%,EJ Atlas,Europe,Southern Europe,Kingdom of Spain
ESP,2012,EJ Events,0.7444557782772152,0.0255474452554744,%,EJ Atlas,Europe,Southern Europe,Kingdom of Spain
ESP,2017,EJ Events,0.7744161803043232,0.0225187656380316,%,EJ Atlas,Europe,Southern Europe,Kingdom of Spain
ESP,2022,EJ Events,0.7649378497032725,0.0234759560772434,%,EJ Atlas,Europe,Southern Europe,Kingdom of Spain
