Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
EGY,2017,Education Index,0.5782231727210215,0.6869314613333333,,Estimated,Africa,Northern Africa,Arab Republic of Egypt
EGY,2022,Education Index,0.5782231727210215,0.6869314613333333,,United Nations Development Programme (UNDP),Africa,Northern Africa,Arab Republic of Egypt
ERI,2007,Education Index,0.16811738731038878,0.3730131337777778,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2012,Education Index,0.16811738731038878,0.3730131337777778,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2017,Education Index,0.16811738731038878,0.3730131337777778,,Estimated,Africa,Eastern Africa,State of Eritrea
ERI,2022,Education Index,0.16811738731038878,0.3730131337777778,,United Nations Development Programme (UNDP),Africa,Eastern Africa,State of Eritrea
ESP,2007,Education Index,0.7889181833679088,0.8482094235555555,,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2012,Education Index,0.7889181833679088,0.8482094235555555,,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2017,Education Index,0.7889181833679088,0.8482094235555555,,Estimated,Europe,Southern Europe,Kingdom of Spain
ESP,2022,Education Index,0.7889181833679088,0.8482094235555555,,United Nations Development Programme (UNDP),Europe,Southern Europe,Kingdom of Spain
EST,2007,Education Index,0.8493598243389824,0.8944748982777778,,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2012,Education Index,0.8493598243389824,0.8944748982777778,,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2017,Education Index,0.8493598243389824,0.8944748982777778,,Estimated,Europe,Northern Europe,Republic of Estonia
EST,2022,Education Index,0.8493598243389824,0.8944748982777778,,United Nations Development Programme (UNDP),Europe,Northern Europe,Republic of Estonia
ETH,2007,Education Index,0.1455925558234744,0.35577134475555555,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2012,Education Index,0.1455925558234744,0.35577134475555555,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
ETH,2017,Education Index,0.1455925558234744,0.35577134475555555,,Estimated,Africa,Eastern Africa,Federal Democratic Republic of Ethiopia
