Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
FRA,2012,Basel,0.7,70.0,,Estimated,Europe,Western Europe,French Republic
FRA,2017,Basel,0.7,70.0,,xx,Europe,Western Europe,French Republic
FRA,2022,Basel,1.0,100.0,,xx,Europe,Western Europe,French Republic
FRO,2007,Basel,0.0,0.0,,Estimated,Europe,Northern Europe,Faroe Islands
FRO,2012,Basel,0.0,0.0,,Estimated,Europe,Northern Europe,Faroe Islands
FRO,2017,Basel,0.0,0.0,,Estimated,Europe,Northern Europe,Faroe Islands
FRO,2022,Basel,0.0,0.0,,Estimated,Europe,Northern Europe,Faroe Islands
FSM,2007,Basel,0.0,0.0,,Estimated,Oceania,Micronesia,Federated States of Micronesia
FSM,2012,Basel,0.0,0.0,,Estimated,Oceania,Micronesia,Federated States of Micronesia
FSM,2017,Basel,0.0,0.0,,Estimated,Oceania,Micronesia,Federated States of Micronesia
FSM,2022,Basel,0.0,0.0,,Estimated,Oceania,Micronesia,Federated States of Micronesia
GAB,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Gabonese Republic
GAB,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Gabonese Republic
GAB,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Gabonese Republic
GAB,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Gabonese Republic
GBR,2007,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
GBR,2012,Basel,1.0,100.0,,Estimated,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
GBR,2017,Basel,1.0,100.0,,xx,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
GBR,2022,Basel,1.0,100.0,,xx,Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
GEO,2007,Basel,0.92,92.0,,Estimated,Asia,Western Asia,Georgia
GEO,2012,Basel,0.92,92.0,,Estimated,Asia,Western Asia,Georgia
GEO,2017,Basel,0.92,92.0,,xx,Asia,Western Asia,Georgia
GEO,2022,Basel,0.8,80.0,,xx,Asia,Western Asia,Georgia
GHA,2007,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Ghana
GHA,2012,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Ghana
GHA,2017,Basel,0.0,0.0,,Estimated,Africa,Western Africa,Republic of Ghana
